Species,    Time Code,                latitude,                 longitude,                flux,                     flux_std,                 flux_std_bs,              start_fit,                end_fit,                  conc_factor,              fit_method,               analyzer_temperature,     analyzer_pressure,        chamber_temperature,      chamber_pressure,         Comment
CO2,        2023/11/07 10:00:25,      0.0,                      0.0,                      3.98594522887e-07,        6.78734904471e-10,        3.40306197962e-10,        1699350437.81,            1699351164.66,            ppm,                      Linear,                   23.4917316437,            743.557983398,            20.0,                     757.0,                    
CH4,        2023/11/07 10:00:25,      0.0,                      0.0,                      1.34501424035e-10,        1.61484014179e-11,        6.25743556665e-12,        1699350437.81,            1699351164.66,            ppm,                      Linear,                   23.4917316437,            743.557983398,            20.0,                     757.0,                    S1_VA_A1_plot01
CO2,        2023/11/07 10:20:59,      0.0,                      0.0,                      3.15535037294e-07,        6.90006796655e-09,        2.0509412114e-09,         1699351884.51,            1699352366.34,            ppm,                      Linear,                   24.8286991119,            743.423706055,            20.0,                     757.0,                    
CH4,        2023/11/07 10:20:59,      0.0,                      0.0,                      2.38301651336e-09,        1.98751900919e-11,        9.51335745355e-12,        1699351884.51,            1699352366.34,            ppm,                      Linear,                   24.8286991119,            743.423706055,            20.0,                     757.0,                    S1_VA1_A1_plot02
CO2,        2023/11/07 10:42:58,      0.0,                      0.0,                      2.26977349275e-07,        4.28795976399e-09,        2.18272922592e-09,        1699353152.29,            1699353637.96,            ppm,                      Linear,                   26.0661563873,            743.230651855,            20.0,                     757.0,                    
CH4,        2023/11/07 10:42:58,      0.0,                      0.0,                      7.75746835957e-10,        7.59682269454e-12,        6.550269763e-12,          1699353152.29,            1699353637.96,            ppm,                      Linear,                   26.0661563873,            743.230651855,            20.0,                     757.0,                    S1_VA_A1_plot03
CO2,        2023/11/07 11:06:14,      0.0,                      0.0,                      -9.17017786276e-07,       2.16034293066e-08,        1.00451384258e-08,        1699354662.04,            1699354966.68,            ppm,                      Linear,                   27.025018692,             742.714111328,            20.0,                     757.0,                    
CH4,        2023/11/07 11:06:14,      0.0,                      0.0,                      -1.10981409299e-10,       7.91624115221e-12,        4.29284425817e-12,        1699354662.04,            1699354966.68,            ppm,                      Linear,                   27.025018692,             742.714111328,            20.0,                     757.0,                    S1_VA_A1_plot04
CO2,        2023/11/07 11:14:10,      0.0,                      0.0,                      2.50129855123e-07,        3.59594082276e-09,        1.24933074157e-09,        1699355264.23,            1699355567.14,            ppm,                      Linear,                   27.431848526,             742.617614746,            20.0,                     757.0,                    
CH4,        2023/11/07 11:14:10,      0.0,                      0.0,                      1.46912003329e-09,        1.62139950217e-11,        4.7941682551e-12,         1699355264.23,            1699355567.14,            ppm,                      Linear,                   27.431848526,             742.617614746,            20.0,                     757.0,                    S1_VA_A1_PLOT05
CO2,        2023/11/07 11:37:58,      0.0,                      0.0,                      -1.25942140275e-06,       3.79244542769e-08,        1.51659855671e-08,        1699356704.93,            1699357007.14,            ppm,                      Linear,                   28.4490299225,            742.293579102,            20.0,                     757.0,                    
CH4,        2023/11/07 11:37:58,      0.0,                      0.0,                      -1.27207437869e-10,       1.10635564615e-11,        6.63027724658e-12,        1699356704.93,            1699357007.14,            ppm,                      Linear,                   28.4490299225,            742.293579102,            20.0,                     757.0,                    S1_VA_A1_006
