Species,    Time Code,                latitude,                 longitude,                flux,                     flux_std,                 flux_std_bs,              start_fit,                end_fit,                  conc_factor,              fit_method,               analyzer_temperature,     analyzer_pressure,        chamber_temperature,      chamber_pressure,         Comment
CO2,        2023/11/09 08:56:43,      0.0,                      0.0,                      -7.89726773298e-08,       1.31326475243e-09,        5.40794656916e-10,        1699519521.69,            1699520121.46,            ppm,                      Linear,                   24.8627567291,            738.242797852,            20.0,                     757.0,                    
CH4,        2023/11/09 08:56:43,      0.0,                      0.0,                      3.58349437041e-09,        9.64494825669e-11,        2.65372199031e-11,        1699519521.69,            1699520121.46,            ppm,                      Linear,                   24.8627567291,            738.242797852,            20.0,                     757.0,                    S1_VA_P1_plot01
CO2,        2023/11/09 09:09:21,      0.0,                      0.0,                      -7.18949386479e-08,       1.37983105559e-09,        6.82913240573e-10,        1699520411.02,            1699520891.67,            ppm,                      Linear,                   25.6545352936,            738.102294922,            20.0,                     757.0,                    
CH4,        2023/11/09 09:09:21,      0.0,                      0.0,                      6.12712367368e-09,        3.23591477272e-11,        1.28192873219e-11,        1699520411.02,            1699520891.67,            ppm,                      Linear,                   25.6545352936,            738.102294922,            20.0,                     757.0,                    S1_VA_P1_plot02
CO2,        2023/11/09 09:24:20,      0.0,                      0.0,                      -7.59275417999e-08,       1.05013579739e-09,        5.64688662954e-10,        1699521241.67,            1699521722.32,            ppm,                      Linear,                   26.4648685455,            733.436767578,            20.0,                     757.0,                    
CH4,        2023/11/09 09:24:20,      0.0,                      0.0,                      6.4495548635e-09,         3.64979307148e-11,        1.75825665985e-11,        1699521241.67,            1699521722.32,            ppm,                      Linear,                   26.4648685455,            733.436767578,            20.0,                     757.0,                    S1_VA_P2_plot03 (revisar Las anteriores grabaciones creo que puesto P1 y es P2) 
CO2,        2023/11/09 09:43:54,      0.0,                      0.0,                      -4.67556178077e-07,       5.90189893803e-09,        2.49839802558e-09,        1699522443.08,            1699522940.11,            ppm,                      Linear,                   27.2517528534,            736.752197266,            20.0,                     757.0,                    
CH4,        2023/11/09 09:43:54,      0.0,                      0.0,                      2.60589923947e-10,        1.45784712745e-11,        2.99965486193e-12,        1699522443.08,            1699522940.11,            ppm,                      Linear,                   27.2517528534,            736.752197266,            20.0,                     757.0,                    S1_VA_P2_plot04
CO2,        2023/11/09 09:52:56,      0.0,                      0.0,                      3.61492024078e-08,        1.97895685001e-09,        1.51173298712e-09,        1699523042.15,            1699523521.58,            ppm,                      Linear,                   27.588098526,             737.81036377,             20.0,                     757.0,                    
CH4,        2023/11/09 09:52:56,      0.0,                      0.0,                      2.13674652092e-10,        4.43106061233e-12,        2.91187316987e-12,        1699523042.15,            1699523521.58,            ppm,                      Linear,                   27.588098526,             737.81036377,             20.0,                     757.0,                    S1_VA_P2_plot4
CO2,        2023/11/09 10:00:06,      0.0,                      0.0,                      -9.91650924829e-09,       2.3357916969e-09,         1.04126286927e-09,        1699523642.1,             1699523952.83,            ppm,                      Linear,                   27.8192691803,            735.299682617,            20.0,                     757.0,                    
CH4,        2023/11/09 10:00:06,      0.0,                      0.0,                      2.82508117975e-10,        7.74383479921e-12,        3.66126924319e-12,        1699523642.1,             1699523952.83,            ppm,                      Linear,                   27.8192691803,            735.299682617,            20.0,                     757.0,                    S1_VA_P2_plot04
CO2,        2023/11/09 10:07:32,      0.0,                      0.0,                      -2.58138905006e-08,       2.77253547928e-09,        1.41497571002e-09,        1699524015.74,            1699524318.26,            ppm,                      Linear,                   28.0109195709,            739.247375488,            20.0,                     757.0,                    
