"UniqueID","LM.flux","LM.C0","LM.Ct","LM.slope","LM.MAE","LM.RMSE","LM.AICc","LM.SE","LM.se.rel","LM.r2","LM.p.val","HM.flux","HM.C0","HM.Ci","HM.slope","HM.MAE","HM.RMSE","HM.AICc","HM.SE","HM.se.rel","HM.r2","HM.k","C0","Ct","MDF","prec","flux.term","nb.obs","k.max","k.mult","g.fact","HM.diagnose","LM.diagnose","best.flux","model","quality.check","HM.score","LM.score","SE.lim","g.limit","k.ratio.lim","MDF.lim","total_estimated","ebullition","diffusion"
"S1-VA-P2-10-vegetated-transparent",0.388737370898535,2016.3334683926,2040.73564325644,0.0748532971283336,3.46666085299666,6.4108644247826,2155.74189293679,0.0194747515034567,5.00974512906807,0.548620153955947,1.76724936976933e-58,0.388971408836748,2016.33029751686,8767.15089637904,0.0748983622870752,3.4700714242163,6.41214858838091,2157.92304841531,0.0775053967320532,19.9257310360779,0.548441115498228,1.10947048866473e-05,2009.497337949,2040.89291497762,0.00952903354955018,0.6,5.19332328450485,328,0.124755495213889,1,1.00060204640905,"Noise (HM.SE)","",0.388971408836748,"LM","",1,0,0.033129457822454,2,1,0.0095,0.388971408836748,0,0.0866863508480138
"S1-VA-P2-11-vegetated-dark",0.284474045301329,2056.56859662239,2076.19510981453,0.0548226625478775,1.57642394700467,2.00562821710691,1528.7924422221,0.00529274797281365,1.86053809134233,0.889430802155221,1.75220352480598e-173,0.522548060867129,2054.20189827045,2081.79850036234,0.10070330309263,1.39549975540004,1.76854539921117,1440.26174822352,0.0292576393960326,5.59903319657942,0.914026279267678,0.00364911965456162,2054.56279701662,2076.8540393,0.0086724005139184,0.6,5.18898630749451,360,0.0913711042464625,1,1.83689186939224,"","",0.284474045301329,"HM","",0,1,0.0316227766016838,2,1,0.0087,0.284474045301329,0,0.0866863508480138
"S1-VA-P2-12-bare-transparent",0.473801087069619,2007.19861895586,2035.12363614956,0.0912582261232053,1.31148572044317,1.6964106950147,1205.71011631324,0.00566286938471696,1.19519974505353,0.957981692833917,6.87477493251391e-213,0.490804976210699,2007.03493880724,2414.44534434539,0.0945333236326009,1.3181197479917,1.69469197455549,1207.13876466505,0.0230571899972039,4.69783134132398,0.958066791496252,0.000232034632271434,2007.55656516719,2033.0241664,0.0101469823515733,0.6,5.19187263655501,308,0.152097043538676,1,1.03588824425509,"","",0.473801087069619,"HM","",0,1,0.0341881729378914,2,1,0.01,0.473801087069619,0,0.0866863508480138
"S1-VA-P2-13-bare-dark",0.0417068091410126,2005.32948695822,2007.89100549233,0.00696064819050643,1.15549770105745,1.53029705372295,1370.92187163818,0.00447506787230653,10.7298255715898,0.188759560453797,1.09669389117291e-18,0.0578308115693925,2005.1763111813,2010.4229923731,0.0096516598175853,1.15559082937039,1.52859305015361,1372.14142919444,0.0226696159423688,39.1998924572708,0.190565205924555,0.00183957428796381,2006.47142103339,2006.3000622,0.00974276359998746,0.6,5.99179961399229,370,0.0116010803175107,1,1.38660359688184,"","",0.0417068091410126,"HM","",0,1,0.0311925146946022,2,1,0.0097,0.0417068091410126,0,0.0866863508480138
"S1-VA-P2-14-bare-transparent",0.0315687393216434,2006.88621727743,2008.74629290578,0.00607867852402466,1.4871179768909,1.92048567689305,1282.13320005477,0.0064126959514376,20.3134369291747,0.0703574501619575,1.39699604271614e-06,0.0462627008255738,2006.75640743221,2010.14652804487,0.00890805562764404,1.4831706200491,1.91999745302555,1284.029647101,0.033912835850906,73.304920045133,0.0708300556231914,0.00262765153380356,2008.96544099387,2009.55125291705,0.0101498807055771,0.6,5.19335562768697,308,0.0101311308733744,1,1.46545924289907,"","",0.0315687393216434,"HM","",0,1,0.0341881729378914,2,1,0.01,0.0315687393216434,0,0.0866863508480138
"S1-VA-P2-15-bare-dark",0.0630124712910862,2011.30461027805,2016.50451098719,0.0121493007222949,1.54973345171722,1.99595281271505,1820.70799813372,0.00403113132442089,6.39735474871168,0.361932400118965,6.73886705071347e-44,0.0689101172819104,2011.22578577604,2042.62486316764,0.0132864133164854,1.54791016286949,1.9956884456719,1822.63186187554,0.0171445071577282,24.8795210833704,0.36210141500994,0.000423146615130899,2013.22207954299,2015.6736851,0.007253860324267,0.6,5.18651013185091,430,0.0202488345371582,1,1.0935949006599,"","",0.0630124712910862,"HM","",0,1,0.0289345693302247,2,1,0.0073,0.0630124712910862,0,0.0866863508480138
"S1-VA-P2-16-vegetated-transparent",0.139811180413223,2004.27219425102,2006.0014644934,0.00565120994241069,1.41416103359455,1.84782813297813,1258.37583965427,0.02939297362328,21.0233355704506,0.0658056999633526,3.03766519138385e-06,0.139986912964803,2004.27176058098,2349.51516888335,0.00565831310497439,1.41410898081016,1.84784985953647,1260.4361483043,0.116778937282685,83.4213247577266,0.0657839850349071,1.63893443550377e-05,2003.844136,2012.47599937654,0.0483518767583128,0.6,24.7400436080034,308,0.00941868323735115,1,1.00125692774398,"Noise (HM.SE)","",0.139986912964803,"LM","",1,0,0.0341881729378914,2,1,0.048,0.139986912964803,0,0.0866863508480138
"S1-VA-P2-17-vegetated-dark",0.0392172247681061,2005.79433928783,2006.29368510879,0.00158522482845779,1.48399715166676,2.53258408459446,1494.82196804636,0.0385769691105435,98.3674121222283,0.000105903651100858,0.310125441966929,0.0635729578009816,2005.73192560653,2006.70455370314,0.00256972367934036,1.48424708543619,2.53174919686209,1496.66445794639,0.206030249750594,324.084731743303,0.000765042054819198,0.00264204138076298,2004.73002883567,1995.11195453992,0.0469732013188158,0.6,24.739219361243,317,0.00264204138076298,1,1.62104682768586,"Noise (HM.SE)","MDF (LM)",0.0635729578009816,"LM","",1,0,0.0336993573781038,2,1,0.047,NA,NA,NA
"S1-VA-P2-18-bare-dark",0.175325703532981,1997.5480791912,2013.19172463011,0.0399072587727174,6.43900304814859,26.8174532601825,3715.95880090996,0.0523195531426774,29.8413478961659,0.0253691011804719,0.000883218637664268,0.175170833208126,1997.5496767037,13920.6185835114,0.0398720075231534,6.43159532961862,26.8176121467829,3718.00475889798,0.207158712198276,118.260961830412,0.0253577044698226,3.34410610513103e-06,2006.83596893191,2331.3525369,0.00670737199329611,0.6,4.39332865560895,394,0.0665120979545291,1,0.999116670734896,"Noise (HM.SE)","Noise (LM.SE)",0.175170833208126,"LM","SE",1,0,0.0302275633115927,2,1,0.0067,NA,NA,NA
"S1-VA-P2-19-vegetated-transparent",7.38223097032557,2017.26453307984,2093.26955492508,0.298058909197026,6.27130820455919,7.88197732204618,1796.62277174249,0.164782618185369,2.23215202623364,0.886826993976783,7.23590856366744e-123,19.2180833047931,2001.48937867648,2092.45127447985,0.775933585620606,4.42507976762722,5.74734829258965,1636.34476733956,0.983102432182028,5.11550718451115,0.939826188344323,0.0085303145758733,2002.0225074,2094.6589813,0.058049275840513,0.6,24.7676910252855,257,0.49676484866171,1,2.60328935548674,"Noise (HM.SE) | Overestimated flux (g-fact)","Noise (LM.SE)",7.38223097032557,"LM","SE | g-fact. > 2",1,0,0.0374269716931083,2,1,0.058,NA,NA,NA
