"pilot_site","subsite","date","person_sampling","gas_analyzer","logger_floating_chamber","logger_transparent_chamber","plot_id","chamber_type","strata","longitude","latitude","water_depth","transparent_dark","start_time","initial_co2","initial_ch4","end_time","final_co2","final_ch4","chamber_height_cm","comments","unix_start","unix_stop","unix_start_corrected","unix_stop_corrected","timestamp_start","timestamp_stop","start_time_corrected","end_time_corrected"
"VA","S1-VA-A2",2023-11-08,"BM, AP","LI-COR",21564714,10257418,1,"floating","open water",-0.27021,39.62455,23,"dark","09:02:00",426.8,2.166,"09:14:00",428.6,2.385,NA,NA,1699434120,1699434840,1699519521.69,1699520121.46,2023-11-09 08:45:21.69,2023-11-09 08:55:21.46,"08:45:21","08:55:21"
"VA","S1-VA-A2",2023-11-08,"BM, AP","LI-COR",21564714,10257418,2,"floating","open water",-0.27019,39.62451,18,"dark","09:17:30",425.6,2.202,"09:23:30",437.6,2.833,NA,NA,1699435020,1699435380,1699520411.02,1699520891.67,2023-11-09 09:00:11.02,2023-11-09 09:08:11.67,"09:00:11","09:08:11"
"VA","S1-VA-A2",2023-11-08,"BM, AP","LI-COR",21564714,10257418,3,"tube","vegetated",-0.27021,39.62457,6,"transparent","09:27:30",431.5,2.331,"09:32:30",404.6,2.442,99,"Phragmites",1699435620,1699435920,1699521241.67,1699521722.32,2023-11-09 09:14:01.67,2023-11-09 09:22:02.32,"09:14:01","09:22:02"
"VA","S1-VA-A2",2023-11-08,"BM, AP","LI-COR",21564714,10257418,3,"tube","vegetated",-0.27021,39.62457,6,"dark","09:39:00",406.7,2.676,"09:44:00",404.3,2.79,99,"Phragmites",1699436340,1699436640,1699522443.08,1699522940.11,2023-11-09 09:34:03.08,2023-11-09 09:42:20.11,"09:34:03","09:42:20"
"VA","S1-VA-A2",2023-11-08,"BM, AP","LI-COR",21564714,10257418,4,"tube","vegetated",-0.2702,39.62453,22,"transparent","09:54:00",453.6,2.245,"09:59:30",432.4,2.429,82,"Phragmites",1699437240,1699437540,1699523042.15,1699523521.58,2023-11-09 09:44:02.15,2023-11-09 09:52:01.58,"09:44:02","09:52:01"
"VA","S1-VA-A2",2023-11-08,"BM, AP","LI-COR",21564714,10257418,4,"tube","vegetated",-0.2702,39.62453,22,"dark","10:01:00",431.6,2.46,"10:06:00",430.3,2.494,82,"Phragmites",1699437660,1699437960,1699523642.1,1699523952.83,2023-11-09 09:54:02.1,2023-11-09 09:59:12.83,"09:54:02","09:59:12"
"VA","S1-VA-A2",2023-11-08,"BM, AP","LI-COR",21564714,10257418,5,"floating","open water",-0.27033,39.62448,15,"dark","10:19:40",434.6,2.027,"10:31:00",436.6,2.259,NA,NA,1699438740,1699439460,1699524015.74,1699524318.26,2023-11-09 10:00:15.74,2023-11-09 10:05:18.26,"10:00:15","10:05:18"
"VA","S1-VA-A2",2023-11-08,"BM, AP","LI-COR",21564714,10257418,6,"floating","open water",-0.27038,39.62443,17,"dark","10:35:30",410.2,2.057,"10:40:00",414,2.118,NA,NA,1699439700,1699440000,1699524462.59,1699524785.5,2023-11-09 10:07:42.59,2023-11-09 10:13:05.5,"10:07:42","10:13:05"
"VA","S1-VA-A2",2023-11-08,"BM, AP","LI-COR",21564714,10257418,7,"tube","vegetated",-0.27039,39.62445,7,"transparent","10:44:30",395.1,2.124,"10:49:00",338.6,2.154,99,"Phragmites",1699440240,1699440540,1699524857.9,1699525195.85,2023-11-09 10:14:17.9,2023-11-09 10:19:55.85,"10:14:17","10:19:55"
"VA","S1-VA-A2",2023-11-08,"BM, AP","LI-COR",21564714,10257418,7,"tube","vegetated",-0.27039,39.62445,7,"dark","10:53:40",325.4,2.179,"10:59:00",330.6,2.197,99,"Phragmites",1699440780,1699441140,1699525669.6,1699525993.59,2023-11-09 10:27:49.6,2023-11-09 10:33:13.59,"10:27:49","10:33:13"
"VA","S1-VA-A2",2023-11-08,"BM, AP","LI-COR",21564714,10257418,8,"tube","vegetated",-0.27043,39.62449,6,"transparent","11:07:50",368.6,2.438,"11:12:00",334.3,2.867,103,"Phragmites",1699441620,1699441920,1699526205.99,1699526561.21,2023-11-09 10:36:45.99,2023-11-09 10:42:41.21,"10:36:45","10:42:41"
"VA","S1-VA-A2",2023-11-08,"BM, AP","LI-COR",21564714,10257418,8,"tube","vegetated",-0.27043,39.62449,6,"dark","11:13:51",339.5,2.894,"11:19:00",444.6,2.937,103,"Phragmites",1699441980,1699442340,1699526681.29,1699526985.13,2023-11-09 10:44:41.29,2023-11-09 10:49:45.13,"10:44:41","10:49:45"
"VA","S1-VA-A2",2023-11-08,"BM, AP","LI-COR",21564714,10257418,9,"floating","open water",-0.27126,39.62431,11,"dark","11:44:44",418.6,2.08,"11:54:10",442.4,2.347,NA,NA,1699443840,1699444440,1699527295.59,1699527661.25,2023-11-09 10:54:55.59,2023-11-09 11:01:01.25,"10:54:55","11:01:01"
"VA","S1-VA-A2",2023-11-08,"BM, AP","LI-COR",21564714,10257418,10,"floating","open water",-0.27117,39.62442,16,"dark","11:57:00",413.3,2.05,"12:02:00",427.6,2.175,NA,NA,1699444620,1699444920,1699528200.41,1699528503.68,2023-11-09 11:10:00.41,2023-11-09 11:15:03.68,"11:10:00","11:15:03"
"VA","S1-VA-A2",2023-11-08,"BM, AP","LI-COR",21564714,10257418,11,"tube","vegetated",-0.27137,39.62446,1,"transparent","12:06:10",340.6,2.11,"12:21:10",248.7,2.353,101,"Phragmites",1699445160,1699446060,1699528571.97,1699528997.55,2023-11-09 11:16:11.97,2023-11-09 11:23:17.55,"11:16:11","11:23:17"
"VA","S1-VA-A2",2023-11-08,"BM, AP","LI-COR",21564714,10257418,11,"tube","vegetated",-0.27137,39.62446,1,"dark","12:18:50",398.6,2.792,"12:24:00",468.1,4.218,101,"Phragmites",1699445880,1699446240,1699529287.4,1699529590.45,2023-11-09 11:28:07.4,2023-11-09 11:33:10.45,"11:28:07","11:33:10"
"VA","S1-VA-A2",2023-11-08,"BM, AP","LI-COR",21564714,10257418,12,"tube","vegetated",-0.27127,39.62449,10,"transparent","12:32:20",391.6,2.2968,"12:38:00",355.6,2.55,99,"Phragmites",1699446720,1699447080,1699529705.37,1699530018.08,2023-11-09 11:35:05.37,2023-11-09 11:40:18.08,"11:35:05","11:40:18"
"VA","S1-VA-A2",2023-11-08,"BM, AP","LI-COR",21564714,10257418,12,"tube","vegetated",-0.27127,39.62449,10,"dark","12:40:10",358.6,2.554,"12:45:10",370.6,2.78,99,"Phragmites",1699447200,1699447500,1699530334.09,1699530723.3,2023-11-09 11:45:34.09,2023-11-09 11:52:03.3,"11:45:34","11:52:03"
"VA","S1-VA-A2",2023-11-08,"BM, AP","LI-COR",21564714,10257418,13,"floating","open water",-0.27043,39.62461,17,"dark","13:03:20",412.6,2.092,"13:10:00",419.6,2.173,NA,NA,1699448580,1699449000,1699530877,1699531129.38,2023-11-09 11:54:37,2023-11-09 11:58:49.38,"11:54:37","11:58:49"
"VA","S1-VA-A2",2023-11-08,"BM, AP","LI-COR",21564714,10257418,14,"tube","vegetated",-0.27052,39.62462,3,"transparent","13:17:20",408.6,2.227,"13:23:00",321.6,2.259,100,"Phragmites",1699449420,1699449780,1699531277.19,1699531550.35,2023-11-09 12:01:17.19,2023-11-09 12:05:50.35,"12:01:17","12:05:50"
"VA","S1-VA-A2",2023-11-08,"BM, AP","LI-COR",21564714,10257418,14,"tube","vegetated",-0.27052,39.62462,3,"dark","13:26:10",311.9,2.276,"13:31:10",331.6,2.308,100,"Phragmites",1699449960,1699450260,1699534054.08,1699534393.2,2023-11-09 12:47:34.08,2023-11-09 12:53:13.2,"12:47:34","12:53:13"
"VA","S1-VA-A2",2023-11-08,"BM, AP","LI-COR",21564714,10257418,15,"tube","vegetated",-0.27049,39.6246,6,"transparent","13:36:50",372.6,2.426,"13:42:00",338.6,2.974,96,"Phragmites",1699450560,1699450920,1699534623.26,1699534922.85,2023-11-09 12:57:03.26,2023-11-09 13:02:02.85,"12:57:03","13:02:02"
"VA","S1-VA-A2",2023-11-08,"BM, AP","LI-COR",21564714,10257418,15,"tube","vegetated",-0.27049,39.6246,6,"dark","13:46:30",337.2,3.185,"13:52:30",345.6,3.34,96,"Phragmites",1699451160,1699451520,1699535028.91,1699535329.74,2023-11-09 13:03:48.91,2023-11-09 13:08:49.74,"13:03:48","13:08:49"
"VA","S1-VA-P2",2023-11-09,"CM, FM, MP","Picarro",20397898,10257417,1,"floating","open water",-0.26398,39.62476,5,"dark","08:47:00",416.62,2,"08:57:00",410.7,2.23,NA,"A lot of biofilm",1699519620,1699520220,1699535439.16,1699535730.01,2023-11-09 13:10:39.16,2023-11-09 13:15:30.01,"13:10:39","13:15:30"
"VA","S1-VA-P2",2023-11-09,"CM, FM, MP","Picarro",20397898,10257417,2,"floating","open water",-0.26391,39.62476,11,"dark","09:02:00",413.8,1.99,"09:10:00",406.1,2.4,NA,"A lot of biofilm",1699520520,1699521000,1699536026.55,1699536331.38,2023-11-09 13:20:26.55,2023-11-09 13:25:31.38,"13:20:26","13:25:31"
"VA","S1-VA-P2",2023-11-09,"CM, FM, MP","Picarro",20397898,10257417,3,"floating","open water",-0.26383,39.62467,8,"dark","09:16:00",412.32,1.99,"09:24:00",406.14,2.44,NA,"A lot of biofilm",1699521360,1699521840,1699536469.73,1699536815.55,2023-11-09 13:27:49.73,2023-11-09 13:33:35.55,"13:27:49","13:33:35"
"VA","S1-VA-P2",2023-11-09,"CM, FM, MP","Picarro",20397898,10257417,4,"tube","vegetated",-0.26393,39.62471,6,"transparent","09:36:00",411.94,1.98,"09:44:00",374.58,2,54,"Phragmites",1699522560,1699523040,1699537143.67,1699537452.23,2023-11-09 13:39:03.67,2023-11-09 13:44:12.23,"13:39:03","13:44:12"
